,word,frequency,known
3048,sursaut,21.28,1
3049,boucher,21.22,1
3050,feindre,21.22,1
3051,écolier,21.22,1
3052,enterrement,21.22,1
3053,soulagement,21.22,1
3054,flanquer,21.22,1
3055,ficelle,21.22,1
3057,hostile,21.15,1
3058,préserver,21.15,1
3060,aérien,21.15,1
3062,çà,21.15,1
3063,tremblant,21.08,1
3064,armé,21.08,1
3065,serpent,21.08,1
3066,torse,21.08,1
3067,malheureusement,21.08,1
3070,cerner,21.01,1
3071,contrôler,21.01,1
3072,mélancolie,21.01,1
3073,jouet,21.01,1
3076,classique,21.01,1
3077,attendrir,20.95,1
3078,jet,20.95,1
3079,hurlement,20.95,1
3080,augmenter,20.95,1
3081,considérable,20.95,1
3082,treize,20.95,1
3084,incertain,20.95,1
3086,vedette,20.88,1
3087,tendance,20.88,1
3088,muraille,20.88,1
3089,monstrueux,20.88,1
3090,inquiétant,20.88,1
3091,autoriser,20.88,1
3092,allumette,20.88,1
3093,violemment,20.88,1
3094,débrouiller,20.81,1
3095,ruer,20.81,1
3096,ronde,20.81,1
3097,sport,20.81,1
3098,timbre,20.81,1
3099,nuance,20.81,1
3100,loisir,20.81,1
3101,émerveiller,20.81,1
3102,rampe,20.81,1
3104,commentaire,20.81,1
3105,peint,20.74,1
3106,coudre,20.74,1
3107,rempli,20.74,1
3108,réussite,20.74,1
3109,royaume,20.68,1
3110,falaise,20.68,1
3111,conclusion,20.68,1
3112,actuel,20.68,1
3113,revivre,20.68,1
3115,échouer,20.61,1
3117,déplaire,20.61,1
3118,tuyau,20.61,1
3119,confusion,20.61,1
3120,borne,20.61,1
3121,propriété,20.61,1
3122,couronne,20.61,1
3123,révélation,20.61,1
3124,chèvre,20.61,1
3125,guise,20.61,1
3126,piétiner,20.61,1
3127,professionnel,20.61,1
3128,tentation,20.61,1
3129,ressort,20.54,1
3131,dépouiller,20.54,1
3132,politesse,20.54,1
3133,affoler,20.54,1
3134,critique,20.54,1
3136,tube,20.47,1
3137,rangée,20.47,1
3138,gaffe,20.47,1
3139,relier,20.47,1
3140,prudent,20.41,1
3141,tremblement,20.41,1
3142,cuire,20.41,1
3144,frissonner,20.34,1
3145,assassin,20.34,1
3146,considération,20.34,1
3147,résigner,20.34,1
3148,démon,20.34,1
3149,marine,20.34,1
3150,secteur,20.34,1
3152,tournant,20.34,1
3153,nettement,20.34,1
3154,élancer,20.27,1
3155,canapé,20.27,1
3156,cirer,20.27,1
3157,gorgée,20.27,1
3159,crédit,20.27,1
3160,sacrifier,20.2,1
3161,hôte,20.2,1
3163,décorer,20.2,1
3164,notamment,20.2,1
3165,prof,20.2,1
3166,malin,20.2,1
3167,punir,20.14,1
3168,éclatant,20.14,1
3169,proposition,20.14,1
3170,pris,20.14,1
3172,mortel,20.07,1
3174,exceptionnel,20.07,1
3175,prudence,20.07,1
3176,chanteur,20.07,1
3177,célébrer,20.07,1
3178,rôder,20.07,1
3179,papillon,20.07,1
3181,suffisamment,20.07,1
3182,innocence,20.0,1
3183,assistance,20.0,1
3184,illuminer,20.0,1
3185,collier,20.0,1
3186,rempart,20.0,1
3187,sanglant,20.0,1
3188,arrivé,20.0,1
3190,commenter,19.93,1
3192,pose,19.93,1
3193,ruse,19.93,1
3194,poêle,19.93,1
3196,calcul,19.86,1
3197,affiche,19.86,1
3198,négliger,19.86,1
3199,joueur,19.86,1
3200,parfaire,19.86,1
3201,personnalité,19.86,1
3202,bonté,19.8,1
3203,délire,19.8,1
3205,baie,19.8,1
3206,mûr,19.73,1
3207,décoller,19.73,1
3208,orchestre,19.73,1
3209,éblouir,19.73,1
3210,arroser,19.73,1
3211,surprenant,19.73,1
3212,témoignage,19.73,1
